OrderID,Date,Category,Product,UnitPrice,Quantity,TotalAmount,PaymentMethod,Region,CustomerRating
ORD-1021,2023-06-07,Electronics,Wireless Headphones,74.57,2,149.14,UPI,North America,5
ORD-1022,2023-02-07,Electronics,USB-C Hub,102.76,2,205.52,Credit Card,North America,4
ORD-1023,2023-05-10,Books,Cookbook,31.56,1,31.56,Debit Card,Europe,1
ORD-1024,2023-01-21,Beauty,Shampoo Bar,43.33,3,129.99,UPI,North America,5
ORD-1025,2023-06-10,Home & Kitchen,Coffee Maker,34.71,4,138.84,Credit Card,Asia-Pacific,4
ORD-1026,2023-02-27,Clothing,Running Shoes,75.23,2,150.46,PayPal,Europe,4
ORD-1027,2023-01-22,Clothing,Hoodie,46.99,2,93.98,UPI,Latin America,3
ORD-1028,2023-03-30,Home & Kitchen,Coffee Maker,45.82,4,183.28,Credit Card,North America,4
ORD-1029,2023-02-18,Books,Cookbook,21.48,2,42.96,PayPal,Asia-Pacific,4
ORD-1030,2023-02-28,Books,Cookbook,34.5,1,34.5,Credit Card,Asia-Pacific,4
ORD-1031,2023-06-19,Books,Sci-Fi Paperback,22.32,2,44.64,UPI,Asia-Pacific,2
ORD-1032,2023-01-15,Home & Kitchen,Air Fryer,52.88,2,105.76,UPI,Asia-Pacific,4
ORD-1033,2023-06-24,Electronics,Gaming Mouse,104.18,1,104.18,UPI,Asia-Pacific,5
ORD-1034,2023-02-20,Electronics,Gaming Mouse,55.02,2,110.04,PayPal,Europe,1
ORD-1035,2023-04-18,Books,Sci-Fi Paperback,11.9,4,47.6,UPI,North America,5
ORD-1036,2023-02-24,Home & Kitchen,Stainless Steel Mug,32.89,4,131.56,Debit Card,North America,4
ORD-1037,2023-03-05,Electronics,Wireless Headphones,41.01,1,41.01,Credit Card,Latin America,5
ORD-1038,2023-05-11,Electronics,USB-C Hub,43.99,1,43.99,Debit Card,Europe,5
ORD-1039,2023-02-20,Home & Kitchen,Blender,33.88,5,169.4,Credit Card,Asia-Pacific,4
ORD-1040,2023-05-15,Electronics,Gaming Mouse,105.11,3,315.33,PayPal,Europe,5
ORD-1041,2023-01-21,Electronics,USB-C Hub,47.74,1,47.74,Credit Card,North America,5
ORD-1042,2023-03-14,Clothing,Yoga Pants,37.47,4,149.88,Credit Card,North America,4
ORD-1043,2023-06-16,Home & Kitchen,Coffee Maker,109.68,3,329.04,Credit Card,Europe,4
ORD-1044,2023-01-18,Home & Kitchen,Chef Knife,67.4,2,134.8,PayPal,Europe,4
ORD-1045,2023-05-12,Electronics,Gaming Mouse,108.44,2,216.88,Credit Card,North America,5
ORD-1046,2023-03-30,Home & Kitchen,Air Fryer,37.23,1,37.23,Debit Card,Europe,5
ORD-1047,2023-03-01,Electronics,Smartwatch,49.04,1,49.04,Credit Card,North America,5
ORD-1048,2023-01-14,Clothing,Cotton T-Shirt,17.66,1,17.66,Credit Card,Europe,4
ORD-1049,2023-01-09,Home & Kitchen,Chef Knife,36.89,3,110.67,PayPal,North America,5
ORD-1050,2023-03-31,Home & Kitchen,Blender,47.86,1,47.86,Debit Card,Asia-Pacific,2
ORD-1051,2023-02-22,Books,History Hardcover,14.43,1,14.43,Credit Card,North America,4
ORD-1052,2023-05-10,Home & Kitchen,Blender,28.87,1,28.87,PayPal,Europe,1
ORD-1053,2023-03-25,Home & Kitchen,Blender,32.06,2,64.12,UPI,North America,4
ORD-1054,2023-04-02,Electronics,Smartwatch,82.6,4,330.4,PayPal,North America,4
ORD-1055,2023-04-21,Clothing,Hoodie,28.41,1,28.41,Credit Card,North America,4
ORD-1056,2023-06-21,Clothing,Denim Jacket,38.68,1,38.68,Credit Card,Europe,4
ORD-1057,2023-01-08,Electronics,Smartwatch,87.93,2,175.86,UPI,Europe,4
ORD-1058,2023-06-24,Beauty,Moisturizer,34.78,1,34.78,Credit Card,North America,4
ORD-1059,2023-02-04,Clothing,Hoodie,17.56,1,17.56,UPI,Europe,3
ORD-1060,2023-03-22,Books,Fiction Novel,29.99,1,29.99,PayPal,Asia-Pacific,4
ORD-1061,2023-06-13,Home & Kitchen,Chef Knife,82.79,1,82.79,UPI,Asia-Pacific,3
ORD-1062,2023-02-19,Books,History Hardcover,12.04,1,12.04,Debit Card,North America,2
ORD-1063,2023-04-14,Clothing,Cotton T-Shirt,71.78,1,71.78,UPI,Europe,4
ORD-1064,2023-05-12,Home & Kitchen,Coffee Maker,112.09,1,112.09,Credit Card,North America,4
ORD-1065,2023-01-02,Clothing,Cotton T-Shirt,18.97,4,75.88,Debit Card,North America,4
ORD-1066,2023-05-14,Electronics,Bluetooth Speaker,59.61,1,59.61,PayPal,Latin America,4
ORD-1067,2023-02-23,Home & Kitchen,Air Fryer,100.62,2,201.24,PayPal,North America,4
ORD-1068,2023-04-16,Clothing,Cotton T-Shirt,63.64,2,127.28,PayPal,Europe,5
ORD-1069,2023-01-04,Electronics,Gaming Mouse,48.07,1,48.07,UPI,Europe,4
ORD-1070,2023-02-23,Home & Kitchen,Chef Knife,40.93,2,81.86,UPI,Asia-Pacific,4
ORD-1071,2023-05-26,Electronics,Gaming Mouse,71.31,1,71.31,Debit Card,Europe,1
ORD-1072,2023-02-13,Beauty,Sunscreen SPF 50,27.99,4,111.96,PayPal,North America,4
ORD-1073,2023-06-11,Beauty,Shampoo Bar,32.4,1,32.4,PayPal,North America,4
ORD-1074,2023-01-14,Beauty,Face Serum,24.17,1,24.17,Debit Card,Europe,4
ORD-1075,2023-04-05,Clothing,Hoodie,45.06,1,45.06,Credit Card,North America,4
ORD-1076,2023-02-17,Electronics,Wireless Headphones,118.43,5,592.15,Credit Card,North America,4
ORD-1077,2023-01-15,Beauty,Face Serum,13.21,2,26.42,Credit Card,North America,4
ORD-1078,2023-02-09,Clothing,Yoga Pants,31.41,2,62.82,Credit Card,North America,5
ORD-1079,2023-03-23,Beauty,Lipstick Set,35.54,1,35.54,Credit Card,North America,5
ORD-1080,2023-04-21,Beauty,Lipstick Set,41.54,2,83.08,Credit Card,North America,5
ORD-1081,2023-02-22,Books,Cookbook,22.79,1,22.79,Credit Card,Europe,5
ORD-1082,2023-01-24,Clothing,Running Shoes,49.59,3,148.77,Credit Card,Europe,1
ORD-1083,2023-06-03,Clothing,Yoga Pants,21.97,1,21.97,UPI,Asia-Pacific,3
ORD-1084,2023-05-04,Books,Cookbook,21.19,1,21.19,PayPal,North America,1
ORD-1085,2023-02-10,Clothing,Running Shoes,49.62,1,49.62,Credit Card,North America,4
ORD-1086,2023-06-06,Electronics,Smartwatch,55.31,1,55.31,PayPal,North America,5
ORD-1087,2023-01-15,Home & Kitchen,Air Fryer,46.92,2,93.84,Credit Card,Europe,3
ORD-1088,2023-02-14,Beauty,Sunscreen SPF 50,24.45,1,24.45,UPI,Asia-Pacific,5
ORD-1089,2023-03-06,Home & Kitchen,Blender,22.01,3,66.03,Debit Card,North America,2
ORD-1090,2023-03-30,Home & Kitchen,Chef Knife,52.21,1,52.21,Credit Card,Latin America,5
ORD-1091,2023-03-12,Electronics,Gaming Mouse,51.43,2,102.86,PayPal,North America,4
ORD-1092,2023-01-09,Home & Kitchen,Air Fryer,52.75,1,52.75,UPI,Europe,2
ORD-1093,2023-03-29,Beauty,Lipstick Set,15.95,1,15.95,UPI,Asia-Pacific,4
ORD-1094,2023-05-09,Electronics,Smartwatch,136.32,2,272.64,PayPal,Asia-Pacific,3
ORD-1095,2023-05-16,Clothing,Hoodie,53.58,1,53.58,PayPal,Asia-Pacific,3
ORD-1096,2023-03-04,Books,Cookbook,26.98,1,26.98,Credit Card,Asia-Pacific,4
ORD-1097,2023-05-19,Home & Kitchen,Chef Knife,98.92,3,296.76,UPI,North America,5
ORD-1098,2023-03-22,Home & Kitchen,Coffee Maker,69.84,4,279.36,Credit Card,Asia-Pacific,4
ORD-1099,2023-05-16,Home & Kitchen,Coffee Maker,28.69,1,28.69,UPI,North America,4
ORD-1100,2023-06-12,Clothing,Running Shoes,49.91,1,49.91,PayPal,Asia-Pacific,4
ORD-1101,2023-06-12,Clothing,Yoga Pants,53.14,2,106.28,PayPal,Europe,5
ORD-1102,2023-02-02,Books,Cookbook,28.64,1,28.64,PayPal,Asia-Pacific,3
ORD-1103,2023-05-03,Books,Fiction Novel,20.79,1,20.79,Credit Card,Europe,4
ORD-1104,2023-01-05,Books,Cookbook,13.19,1,13.19,Credit Card,Europe,2
ORD-1105,2023-02-10,Beauty,Face Serum,21.36,2,42.72,Credit Card,Europe,3
ORD-1106,2023-01-28,Clothing,Denim Jacket,38.6,2,77.2,Credit Card,Asia-Pacific,4
ORD-1107,2023-05-15,Clothing,Denim Jacket,56.98,1,56.98,Debit Card,North America,3
ORD-1108,2023-03-13,Books,History Hardcover,24.27,1,24.27,Credit Card,North America,4
ORD-1109,2023-01-12,Home & Kitchen,Air Fryer,55.61,1,55.61,Credit Card,North America,5
ORD-1110,2023-06-11,Home & Kitchen,Stainless Steel Mug,118.65,2,237.3,UPI,North America,2
ORD-1111,2023-02-02,Books,History Hardcover,25.14,1,25.14,UPI,Asia-Pacific,4
ORD-1112,2023-02-17,Books,History Hardcover,15.93,1,15.93,UPI,North America,3
ORD-1113,2023-05-31,Clothing,Yoga Pants,21.62,3,64.86,UPI,Latin America,5
ORD-1114,2023-03-03,Clothing,Yoga Pants,24.94,1,24.94,Credit Card,North America,4
ORD-1115,2023-02-06,Electronics,Gaming Mouse,55.74,2,111.48,Credit Card,North America,5
ORD-1116,2023-04-09,Home & Kitchen,Blender,36.07,1,36.07,Debit Card,Asia-Pacific,4
ORD-1117,2023-06-21,Electronics,USB-C Hub,48.32,1,48.32,PayPal,Europe,1
ORD-1118,2023-04-14,Clothing,Yoga Pants,33.53,1,33.53,Credit Card,Europe,4
ORD-1119,2023-02-04,Clothing,Hoodie,26.27,2,52.54,Debit Card,Europe,5
ORD-1120,2023-04-11,Clothing,Running Shoes,73.29,3,219.87,Credit Card,Asia-Pacific,4
ORD-1121,2023-06-24,Home & Kitchen,Blender,28.02,3,84.06,Credit Card,North America,5
ORD-1122,2023-05-11,Electronics,USB-C Hub,90.56,1,90.56,PayPal,Latin America,5
ORD-1123,2023-01-01,Electronics,Wireless Headphones,76.3,2,152.6,PayPal,Latin America,3
ORD-1124,2023-01-05,Books,Self-Help Guide,34.56,1,34.56,PayPal,Europe,3
ORD-1125,2023-05-22,Clothing,Denim Jacket,22.28,1,22.28,Credit Card,North America,4
ORD-1126,2023-04-13,Electronics,Wireless Headphones,74.73,3,224.19,UPI,Europe,4
ORD-1127,2023-01-27,Clothing,Denim Jacket,78.02,1,78.02,Credit Card,North America,5
ORD-1128,2023-05-17,Books,History Hardcover,31.64,1,31.64,Credit Card,North America,5
ORD-1129,2023-01-15,Electronics,Bluetooth Speaker,127.13,1,127.13,UPI,North America,4
ORD-1130,2023-03-31,Home & Kitchen,Coffee Maker,45.79,1,45.79,UPI,Europe,3
ORD-1131,2023-02-11,Electronics,Bluetooth Speaker,46.36,1,46.36,UPI,Asia-Pacific,5
ORD-1132,2023-05-04,Electronics,USB-C Hub,108.58,2,217.16,Debit Card,Asia-Pacific,3
ORD-1133,2023-06-28,Clothing,Cotton T-Shirt,75.41,1,75.41,PayPal,Asia-Pacific,5
ORD-1134,2023-03-04,Clothing,Hoodie,51.19,3,153.57,PayPal,Europe,4
ORD-1135,2023-04-06,Home & Kitchen,Stainless Steel Mug,77.16,3,231.48,Credit Card,North America,4
ORD-1136,2023-02-21,Home & Kitchen,Chef Knife,48.0,1,48.0,PayPal,North America,2
ORD-1137,2023-04-06,Beauty,Moisturizer,37.39,1,37.39,Credit Card,Latin America,4
ORD-1138,2023-05-12,Clothing,Hoodie,27.16,1,27.16,Credit Card,North America,4
ORD-1139,2023-05-31,Clothing,Hoodie,36.04,2,72.08,Debit Card,Asia-Pacific,4
ORD-1140,2023-05-23,Books,Self-Help Guide,20.64,1,20.64,PayPal,Europe,3
ORD-1141,2023-06-20,Clothing,Cotton T-Shirt,47.99,2,95.98,Credit Card,Europe,5
ORD-1142,2023-01-29,Clothing,Hoodie,30.76,1,30.76,Credit Card,Asia-Pacific,5
ORD-1143,2023-02-05,Electronics,Smartwatch,39.35,2,78.7,PayPal,Europe,3
ORD-1144,2023-01-13,Electronics,USB-C Hub,101.33,1,101.33,Credit Card,Asia-Pacific,2
ORD-1145,2023-06-09,Beauty,Lipstick Set,21.52,1,21.52,UPI,Latin America,1
ORD-1146,2023-03-12,Books,History Hardcover,24.53,4,98.12,PayPal,Europe,4
ORD-1147,2023-03-27,Home & Kitchen,Coffee Maker,35.44,3,106.32,PayPal,North America,4
ORD-1148,2023-01-28,Clothing,Hoodie,46.27,1,46.27,PayPal,Europe,4
ORD-1149,2023-03-07,Electronics,Bluetooth Speaker,91.57,3,274.71,Debit Card,Latin America,3
ORD-1150,2023-06-19,Electronics,Wireless Headphones,31.48,1,31.48,Credit Card,North America,4
ORD-1151,2023-02-14,Clothing,Denim Jacket,36.88,3,110.64,PayPal,Europe,4
ORD-1152,2023-03-03,Clothing,Denim Jacket,23.74,3,71.22,PayPal,Europe,4
ORD-1153,2023-05-14,Home & Kitchen,Chef Knife,26.34,1,26.34,Credit Card,Asia-Pacific,5
ORD-1154,2023-01-28,Home & Kitchen,Stainless Steel Mug,119.0,1,119.0,UPI,North America,3
ORD-1155,2023-01-28,Clothing,Yoga Pants,35.95,1,35.95,Debit Card,Asia-Pacific,4
ORD-1156,2023-04-18,Beauty,Lipstick Set,38.73,2,77.46,PayPal,Latin America,4
ORD-1157,2023-02-13,Home & Kitchen,Chef Knife,45.46,2,90.92,UPI,North America,4
ORD-1158,2023-03-25,Home & Kitchen,Chef Knife,88.15,1,88.15,UPI,North America,5
ORD-1159,2023-01-30,Home & Kitchen,Blender,96.02,1,96.02,Debit Card,Latin America,4
ORD-1160,2023-03-16,Clothing,Yoga Pants,53.72,3,161.16,Debit Card,North America,5
ORD-1161,2023-05-08,Electronics,Smartwatch,83.95,5,419.75,PayPal,Asia-Pacific,2
ORD-1162,2023-04-02,Clothing,Running Shoes,41.77,2,83.54,PayPal,Europe,2
ORD-1163,2023-05-09,Books,History Hardcover,18.72,1,18.72,PayPal,North America,5
ORD-1164,2023-05-01,Electronics,Wireless Headphones,141.19,1,141.19,Debit Card,Asia-Pacific,4
ORD-1165,2023-01-27,Electronics,Smartwatch,128.83,1,128.83,Credit Card,Europe,3
ORD-1166,2023-05-01,Electronics,Smartwatch,145.63,4,582.52,UPI,Europe,2
ORD-1167,2023-04-26,Electronics,Smartwatch,40.54,1,40.54,UPI,North America,2
ORD-1168,2023-01-03,Books,Sci-Fi Paperback,28.27,2,56.54,Credit Card,Europe,5
ORD-1169,2023-04-13,Home & Kitchen,Chef Knife,113.83,1,113.83,Debit Card,North America,3
ORD-1170,2023-06-04,Clothing,Yoga Pants,26.78,2,53.56,Credit Card,North America,4
ORD-1171,2023-05-17,Electronics,Wireless Headphones,33.31,2,66.62,Credit Card,Latin America,3
ORD-1172,2023-03-03,Clothing,Denim Jacket,63.17,3,189.51,Debit Card,North America,4
ORD-1173,2023-06-14,Clothing,Cotton T-Shirt,52.34,1,52.34,Credit Card,Europe,2
ORD-1174,2023-02-20,Electronics,Wireless Headphones,130.23,1,130.23,Debit Card,North America,4
ORD-1175,2023-06-21,Clothing,Running Shoes,24.09,1,24.09,Debit Card,Asia-Pacific,2
ORD-1176,2023-06-01,Clothing,Yoga Pants,66.69,4,266.76,PayPal,North America,5
ORD-1177,2023-02-28,Home & Kitchen,Air Fryer,40.16,3,120.48,Credit Card,Latin America,3
ORD-1178,2023-04-28,Home & Kitchen,Coffee Maker,36.37,2,72.74,Credit Card,Europe,4
ORD-1179,2023-06-09,Electronics,Bluetooth Speaker,45.53,2,91.06,PayPal,North America,5
ORD-1180,2023-04-06,Clothing,Running Shoes,67.95,2,135.9,UPI,North America,4
ORD-1181,2023-06-29,Home & Kitchen,Coffee Maker,86.52,1,86.52,PayPal,North America,4
ORD-1182,2023-04-23,Clothing,Yoga Pants,49.0,4,196.0,Credit Card,Europe,4
ORD-1183,2023-03-03,Books,Fiction Novel,18.97,1,18.97,PayPal,North America,4
ORD-1184,2023-02-21,Home & Kitchen,Air Fryer,107.72,1,107.72,PayPal,Asia-Pacific,4
ORD-1185,2023-01-12,Electronics,Wireless Headphones,74.06,2,148.12,Debit Card,Europe,5
ORD-1186,2023-02-08,Electronics,Bluetooth Speaker,127.07,1,127.07,Credit Card,North America,4
ORD-1187,2023-05-10,Home & Kitchen,Coffee Maker,63.91,1,63.91,Debit Card,Europe,4
ORD-1188,2023-05-11,Electronics,Gaming Mouse,72.12,2,144.24,PayPal,Asia-Pacific,5
ORD-1189,2023-04-23,Home & Kitchen,Stainless Steel Mug,66.27,1,66.27,UPI,North America,4
ORD-1190,2023-04-11,Beauty,Face Serum,21.95,2,43.9,Credit Card,North America,2
ORD-1191,2023-04-23,Home & Kitchen,Chef Knife,94.76,1,94.76,PayPal,North America,4
ORD-1192,2023-03-22,Clothing,Yoga Pants,47.68,1,47.68,UPI,Asia-Pacific,5
ORD-1193,2023-04-23,Home & Kitchen,Blender,43.22,1,43.22,Credit Card,Europe,3
ORD-1194,2023-01-02,Clothing,Yoga Pants,73.47,1,73.47,UPI,Europe,4
ORD-1195,2023-05-10,Clothing,Yoga Pants,39.95,2,79.9,PayPal,Asia-Pacific,3
ORD-1196,2023-02-23,Beauty,Shampoo Bar,29.94,1,29.94,Credit Card,Asia-Pacific,4
ORD-1197,2023-03-28,Clothing,Yoga Pants,73.92,2,147.84,Credit Card,Europe,2
ORD-1198,2023-05-09,Beauty,Moisturizer,32.6,1,32.6,Debit Card,Asia-Pacific,4
ORD-1199,2023-05-27,Beauty,Moisturizer,15.86,2,31.72,Credit Card,North America,5
ORD-1200,2023-05-06,Electronics,Bluetooth Speaker,142.48,4,569.92,PayPal,North America,4
ORD-1201,2023-05-10,Electronics,Wireless Headphones,103.46,2,206.92,Credit Card,North America,4
ORD-1202,2023-02-22,Electronics,Gaming Mouse,66.86,1,66.86,PayPal,North America,5
ORD-1203,2023-06-21,Electronics,Wireless Headphones,42.41,1,42.41,Credit Card,Europe,5
ORD-1204,2023-06-09,Electronics,Wireless Headphones,124.25,1,124.25,UPI,Latin America,3
ORD-1205,2023-06-09,Home & Kitchen,Blender,82.01,2,164.02,UPI,North America,4
ORD-1206,2023-03-09,Electronics,Gaming Mouse,91.68,1,91.68,UPI,North America,3
ORD-1207,2023-05-03,Clothing,Yoga Pants,73.1,1,73.1,Debit Card,Europe,5
ORD-1208,2023-05-25,Books,Cookbook,29.71,2,59.42,Credit Card,Latin America,5
ORD-1209,2023-02-07,Electronics,Wireless Headphones,43.96,1,43.96,Debit Card,North America,4
ORD-1210,2023-01-24,Books,Fiction Novel,17.79,3,53.37,Credit Card,Europe,5
ORD-1211,2023-03-10,Clothing,Cotton T-Shirt,31.15,1,31.15,Credit Card,North America,4
ORD-1212,2023-04-26,Electronics,USB-C Hub,117.99,1,117.99,Credit Card,North America,4
ORD-1213,2023-04-08,Home & Kitchen,Air Fryer,23.35,2,46.7,PayPal,Latin America,2
ORD-1214,2023-05-19,Home & Kitchen,Air Fryer,76.99,1,76.99,Debit Card,Latin America,5
ORD-1215,2023-05-24,Books,Self-Help Guide,29.06,2,58.12,PayPal,North America,2
ORD-1216,2023-04-07,Home & Kitchen,Blender,107.68,1,107.68,PayPal,Latin America,5
ORD-1217,2023-05-04,Books,Sci-Fi Paperback,18.55,1,18.55,Credit Card,Europe,5
ORD-1218,2023-03-11,Clothing,Cotton T-Shirt,68.38,3,205.14,UPI,Asia-Pacific,5
ORD-1219,2023-04-03,Electronics,USB-C Hub,38.83,3,116.49,PayPal,Europe,1
ORD-1220,2023-01-03,Books,Fiction Novel,31.16,2,62.32,PayPal,Europe,4
